FlyId,Partner,Type,Longevity,Thorax,Sleep
1,8,0,35,0.64,22
2,8,0,37,0.68,9
3,8,0,49,0.68,49
4,8,0,46,0.72,1
5,8,0,63,0.72,23
6,8,0,39,0.76,83
7,8,0,46,0.76,23
8,8,0,56,0.76,15
9,8,0,63,0.76,9
10,8,0,65,0.76,81
11,8,0,56,0.8,12
12,8,0,65,0.8,15
13,8,0,70,0.8,37
14,8,0,63,0.84,24
15,8,0,65,0.84,26
16,8,0,70,0.84,17
17,8,0,77,0.84,14
18,8,0,81,0.84,14
19,8,0,86,0.84,6
20,8,0,70,0.88,25
21,8,0,70,0.88,18
22,8,0,77,0.92,26
23,8,0,77,0.92,24
24,8,0,81,0.92,29
25,8,0,77,0.94,27
1,0,9,40,0.64,18
2,0,9,37,0.7,6
3,0,9,44,0.72,19
4,0,9,47,0.72,7
5,0,9,47,0.72,16
6,0,9,47,0.76,13
7,0,9,68,0.78,35
8,0,9,47,0.8,2
9,0,9,54,0.84,35
10,0,9,61,0.84,6
11,0,9,71,0.84,15
12,0,9,75,0.84,14
13,0,9,89,0.84,18
14,0,9,58,0.88,50
15,0,9,59,0.88,25
16,0,9,62,0.88,10
17,0,9,79,0.88,33
18,0,9,96,0.88,43
19,0,9,58,0.92,35
20,0,9,62,0.92,17
21,0,9,70,0.92,27
22,0,9,72,0.92,22
23,0,9,75,0.92,16
24,0,9,96,0.92,20
25,0,9,75,0.94,37
1,1,0,46,0.64,23
2,1,0,42,0.68,4
3,1,0,65,0.72,20
4,1,0,46,0.76,42
5,1,0,58,0.76,9
6,1,0,42,0.8,32
7,1,0,48,0.8,66
8,1,0,58,0.8,28
9,1,0,50,0.82,10
10,1,0,80,0.82,4
11,1,0,63,0.84,12
12,1,0,65,0.84,17
13,1,0,70,0.84,12
14,1,0,70,0.84,23
15,1,0,72,0.84,40
16,1,0,97,0.84,18
17,1,0,46,0.88,10
18,1,0,56,0.88,38
19,1,0,70,0.88,7
20,1,0,70,0.88,23
21,1,0,72,0.88,36
22,1,0,76,0.88,9
23,1,0,90,0.88,21
24,1,0,76,0.92,62
25,1,0,92,0.92,36
1,1,1,21,0.68,23
2,1,1,40,0.68,62
3,1,1,44,0.72,28
4,1,1,54,0.76,18
5,1,1,36,0.78,10
6,1,1,40,0.8,28
7,1,1,56,0.8,22
8,1,1,60,0.8,29
9,1,1,48,0.84,15
10,1,1,53,0.84,73
11,1,1,60,0.84,10
12,1,1,60,0.84,5
13,1,1,65,0.84,13
14,1,1,68,0.84,27
15,1,1,60,0.88,20
16,1,1,81,0.88,21
17,1,1,81,0.88,12
18,1,1,48,0.9,49
19,1,1,48,0.9,17
20,1,1,56,0.9,22
21,1,1,68,0.9,71
22,1,1,75,0.9,17
23,1,1,81,0.9,10
24,1,1,48,0.92,24
25,1,1,68,0.92,18
1,8,1,16,0.64,34
2,8,1,19,0.64,6
3,8,1,19,0.68,4
4,8,1,32,0.72,22
5,8,1,33,0.72,28
6,8,1,33,0.74,31
7,8,1,30,0.76,16
8,8,1,42,0.76,27
9,8,1,42,0.76,8
10,8,1,33,0.78,32
11,8,1,26,0.8,20
12,8,1,30,0.8,35
13,8,1,40,0.82,12
14,8,1,54,0.82,14
15,8,1,34,0.84,17
16,8,1,34,0.84,29
17,8,1,47,0.84,31
18,8,1,47,0.84,6
19,8,1,42,0.88,30
20,8,1,47,0.88,27
21,8,1,54,0.88,40
22,8,1,54,0.88,19
23,8,1,56,0.88,8
24,8,1,60,0.88,8
25,8,1,44,0.92,15
