ResidenceTime,Sex,Year
4.5,f,2000
5,f,2000
6,m,2000
5,m,2000
6.5,m,2000
10,m,2000
6,m,2000
7,m,2000
7,m,2000
6.5,m,2000
5,m,2000
2.5,m,2000
4,f,2001
6,f,2001
1,f,2001
4,f,2001
5,f,2001
6,f,2001
4,f,2001
3,f,2001
4,f,2001
6,m,2001
8,m,2001
12,m,2001
10,m,2001
12,m,2001
7,m,2001
5,m,2001
11,m,2001
7,m,2001
8,m,2001
10,m,2001
8,m,2001
6,m,2001
3,m,2001
8.5,m,2001
3,f,2002
3,f,2002
3,f,2002
3,f,2002
3,f,2002
3,f,2002
6,m,2002
6,m,2002
8.5,m,2002
6,m,2002
5,m,2002
5,m,2002
4,m,2002
6,m,2002
6,m,2002
7.5,m,2002
7,m,2002
6,m,2002
5,m,2002
6,m,2002
6,m,2002
4,m,2002
6,m,2002
6,m,2002
7,m,2002
10,m,2002
5,m,2002
6.5,m,2002
7.5,m,2002
8,m,2002
6.5,m,2002
7,m,2002
