Y,x1,x2,x3,x4,x5,x6
-1.8496,1.2125,-0.70324,0.086007,-0.40573,-0.42487,0.12683
-1.8222,0.3036,-1.009,0.23369,-0.43413,-1.7315,2.5264
-1.7947,0.64968,0.17379,1.078,-0.11226,-0.094661,-1.845
-1.7673,-1.5237,-0.84159,-0.076884,1.3328,-0.18823,1.1577
-1.7398,-0.37613,1.0843,-0.29038,2.1003,-0.073955,-2.5345
-1.7124,-0.68418,0.60171,1.2244,-1.4247,0.25932,-0.14656
-1.6986,-0.70596,1.0023,0.82028,0.50363,0.30775,-2.0767
-1.6849,-0.019811,-1.441,-1.2022,0.77333,0.29666,1.5044
-1.6575,1.7934,1.0229,-0.50328,0.47486,-0.1133,-2.7295
-1.63,1.3782,-1.6312,1.0185,-0.30247,0.94182,-1.5865
-1.6026,-1.1883,0.013959,-0.94124,-0.30881,-1.5668,3.9276
-1.5751,0.41922,0.76494,0.19269,-1.0271,-0.96644,0.52498
-1.5477,0.30365,1.0959,-0.81424,0.83645,-0.40259,-1.0726
-1.6863,-1.6165,0.02602,-0.62224,0.38224,-1.2195,2.9742
-1.674,0.27318,-0.78143,0.58732,1.9307,-0.36822,-1.7623
-1.6617,-0.94662,-0.45295,0.43448,0.72346,1,-0.88837
-1.6493,-1.131,0.14987,0.43385,-0.5996,-1.0767,2.1443
-1.788,0.68717,-0.91318,1.4212,0.43845,0.18393,-1.9424
-1.7605,-0.90823,-0.39833,-0.59144,0.36496,0.80395,0.6732
-1.7331,0.043094,0.50684,0.47224,-0.091295,0.51162,-1.5159
-1.7056,-0.024774,-0.45679,-0.92898,1.1941,0.40335,-0.21337
-1.6782,0.062346,-0.5681,0.26838,0.74377,-0.33772,-0.23739
-1.6507,1.1238,-0.017834,-1.5303,-0.73087,0.48061,0.69494
-1.637,-0.49923,0.60124,0.7873,1.4674,-0.02952,-2.4126
-1.6233,-1.3391,0.077032,2.0286,-0.1655,0.63158,-1.3988
-1.5958,-0.5899,0.79517,0.93742,0.19322,1.1903,-2.6332
-1.5684,0.08534,0.3099,0.80425,-0.63639,-0.68489,0.049168
-1.5409,-0.71617,-0.19085,1.2409,-1.9901,-2.1967,3.7673
-1.5135,-0.92143,-0.26089,-0.11107,-0.12213,-0.023508,1.3764
-1.486,0.97115,-0.88049,0.16284,0.65593,-0.83491,-0.12544
-1.6667,-0.2061,-1.4245,-0.36101,-1.7582,-0.79867,4.6205
