Year        TSS
1974.04      490
1974.12      540
1974.29      220
1974.54      390
1974.79      450
1975.04      230
1975.29      360
1975.54      460
1975.79      430
1976.04      430
1976.29      620
1976.62      460
1976.79      450
1977.04      580
1977.29      350
1977.54      440
1977.79      530
1977.87      380
1977.96      440
1978.04      430
1978.12      680
1978.21      250
1978.29      250
1978.37      450
1978.46      500
1978.54      510
1978.62      490
1978.71      700
1978.79      420
1978.87      710
1978.96      430
1979.04      410
1979.12      700
1979.21      260
1979.29      260
1979.37      500
1979.46      450
1979.54      500
1979.62      620
1979.71      670
1979.79      410
1979.87      470
1979.96      370
1980.04      410
1980.12      540
1980.21      550
1980.29      220
1980.37      460
1980.46      390
1980.54      550
1980.62      320
1980.71      570
1980.79      480
1980.96      520
1981.04      620
1981.12      520
1981.21      430
1981.29      400
1981.37      430
1981.46      490
1981.54      560
1981.62      370
1981.71      460
1981.79      390
1981.96      330
1982.21      350
1982.37      480
1982.46      390
1982.62      500
1982.87      410
1983.12      470
1983.37      280
1983.62      510
1983.87      470
1984.12      310
1984.37      230
1984.54      470
1984.87      330
1985.21      320
1985.37      500
