transect,quad,legal,sublegal 
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,1
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,1
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,1,1
1,23,3,0
1,24,1,4
1,25,0,1
1,26,2,1
1,27,0,0
1,28,7,3
1,29,7,10
1,30,6,1
1,31,5,0
1,32,3,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,3,1
1,37,4,4
1,38,4,1
1,39,9,2
1,40,7,3
1,41,4,0
1,42,4,1
1,43,4,0
1,44,2,0
1,45,3,0
1,46,1,1
1,47,1,0
1,48,1,1
1,49,3,1
1,50,2,0
1,51,5,0
1,52,8,7
1,53,4,4
1,54,4,0
1,55,8,1
1,56,7,3
1,57,4,1
1,58,1,2
1,59,2,0
1,60,0,0
1,61,1,0
1,62,2,3
1,63,0,0
1,64,2,3
1,65,6,1
1,66,1,0
1,67,3,0
1,68,0,0
1,69,0,0
1,70,0,0
1,71,0,0
1,72,0,0
1,73,0,0
1,74,0,0
1,75,0,0
1,76,0,0
1,77,0,0
1,78,0,0
1,79,0,0
1,80,0,0
1,81,0,0
1,82,0,0
1,83,0,0
1,84,0,0
1,85,0,0
1,86,0,0
1,87,0,0
1,88,0,0
1,89,0,0
1,90,1,0
1,91,1,1
1,92,4,2
1,93,0,0
1,94,0,0
1,95,0,0
1,96,0,0
1,97,0,0
1,98,0,0
1,99,0,0
1,100,0,0
2,1,4,6
2,2,7,2
2,3,3,2
2,4,5,2
2,5,7,0
2,6,6,2
2,7,3,1
2,8,3,3
2,9,4,1
2,10,7,1
2,11,8,1
2,12,8,2
2,13,3,0
2,14,8,0
2,15,5,0
2,16,7,7
2,17,6,1
2,18,6,0
2,19,3,1
2,20,3,1
2,21,7,2
2,22,6,1
2,23,2,1
2,24,5,2
2,25,2,2
2,26,5,0
2,27,14,1
2,28,3,2
2,29,0,1
2,30,0,0
3,1,0,0
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,0
3,13,0,0
3,14,0,0
3,15,0,0
3,16,0,0
3,17,0,0
3,18,0,0
3,19,0,0
3,20,0,0
3,21,0,0
3,22,0,0
3,23,0,0
3,24,0,0
3,25,0,0
3,26,0,0
3,27,0,0
3,28,0,0
3,29,0,0
3,30,0,0
3,31,0,0
3,32,0,0
3,33,0,0
3,34,0,0
3,35,0,0
3,36,0,0
3,37,0,0
3,38,0,0
3,39,0,0
3,40,0,0
3,41,0,0
3,42,0,0
3,43,0,0
3,44,0,0
3,45,0,0
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
3,51,0,0
3,52,0,0
3,53,0,0
3,54,0,0
3,55,0,0
3,56,0,0
3,57,0,0
3,58,0,0
3,59,0,0
3,60,0,0
3,61,0,0
3,62,0,0
3,63,0,0
3,64,0,0
3,65,0,0
3,66,0,0
3,67,0,0
3,68,0,0
3,69,0,0
3,70,0,0
3,71,0,0
3,72,0,0
3,73,0,0
3,74,0,0
3,75,0,0
3,76,0,0
3,77,0,0
3,78,0,0
3,79,0,0
3,80,0,0
3,81,0,0
3,82,0,0
3,83,0,0
3,84,0,0
3,85,0,0
3,86,0,0
3,87,0,0
3,88,0,0
3,89,0,0
3,90,0,0
3,91,0,0
3,92,0,0
3,93,0,0
3,94,0,0
3,95,0,0
3,96,0,0
3,97,0,0
3,98,0,0
3,99,0,0
3,100,0,0
4,1,0,2
4,2,3,1
4,3,2,2
4,4,2,0
4,5,1,2
4,6,3,9
4,7,3,14
4,8,3,1
4,9,6,1
4,10,10,3
4,11,3,2
4,12,0,2
4,13,1,1
4,14,2,2
4,15,3,4
4,16,1,2
4,17,4,0
4,18,1,2
4,19,5,2
4,20,2,0
4,21,9,1
4,22,3,1
4,23,4,3
4,24,4,3
4,25,7,1
4,26,4,2
4,27,1,1
4,28,3,2
4,29,5,0
4,30,10,1
4,31,5,0
4,32,5,1
4,33,6,1
4,34,6,3
4,35,6,1
4,36,5,0
4,37,3,2
4,38,4,1
4,39,10,2
4,40,0,0
4,41,0,0
4,42,0,0
4,43,1,0
4,44,1,0
4,45,1,0
4,46,0,0
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
4,51,0,0
4,52,0,0
4,53,0,0
4,54,0,0
4,55,0,0
4,56,0,0
4,57,0,0
4,58,0,0
4,59,0,0
4,60,0,0
4,61,0,0
4,62,0,0
4,63,0,0
4,64,0,0
4,65,0,0
4,66,0,0
4,67,0,0
4,68,0,0
4,69,0,0
4,70,0,0
4,71,0,0
4,72,0,0
4,73,0,0
6,1,0,0
6,2,1,1
6,3,0,0
6,4,0,0
6,5,0,0
6,6,0,0
6,7,3,1
6,8,0,0
6,9,7,1
6,10,0,0
6,11,3,3
6,12,5,0
6,13,2,1
6,14,0,0
6,15,0,0
6,16,0,0
6,17,0,0
6,18,0,0
6,19,0,0
6,20,0,0
6,21,0,0
6,22,0,0
6,23,0,0
6,24,0,0
6,25,0,0
6,26,0,0
6,27,0,0
6,28,0,0
6,29,0,0
6,30,0,0
6,31,0,0
6,32,0,0
6,33,1,0
6,34,0,0
6,35,0,0
6,36,0,0
6,37,0,0
6,38,0,0
6,39,0,0
7,1,2,1
7,2,0,0
7,3,0,0
7,4,3,3
7,5,0,0
7,6,0,0
7,7,0,0
7,8,0,0
7,9,0,0
7,10,0,0
7,11,0,0
7,12,0,0
7,13,0,0
7,14,0,0
7,15,0,0
7,16,0,0
7,17,0,0
7,18,0,0
7,19,0,0
7,20,0,0
7,21,0,0
8,1,10,3
8,2,7,1
8,3,3,1
8,4,1,0
8,5,2,1
8,6,2,0
8,7,2,0
8,8,0,0
8,9,0,0
8,10,0,0
8,11,1,0
8,12,0,0
8,13,0,0
8,14,1,0
8,15,1,0
8,16,1,1
8,17,1,0
8,18,1,0
8,19,2,2
8,20,2,7
8,21,1,1
8,22,3,1
8,23,0,0
8,24,0,2
8,25,0,1
8,26,2,1
8,27,1,0
8,28,0,0
8,29,1,2
8,30,0,0
8,31,7,3
8,32,0,0
8,33,1,0
8,34,3,1
8,35,0,0
8,36,2,0
8,37,0,0
8,38,3,0
8,39,5,2
8,40,0,0
8,41,5,1
8,42,9,0
8,43,5,0
8,44,0,0
8,45,0,0
8,46,0,0
9,1,0,0
9,2,0,0
9,3,1,1
9,4,0,0
9,5,1,0
9,6,2,0
9,7,2,0
9,8,1,1
9,9,3,0
9,10,1,0
9,11,1,0
9,12,3,1
9,13,1,0
9,14,0,2
9,15,3,0
9,16,5,1
9,17,1,0
9,18,1,0
9,19,3,0
9,20,2,1
9,21,2,0
9,22,2,0
9,23,5,2
9,24,6,0
10,1,0,0
10,2,0,0
10,3,1,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,0,0
10,9,0,0
10,10,0,0
10,11,0,0
10,12,0,0
10,13,0,0
10,14,1,0
10,15,5,4
10,16,0,0
10,17,1,11
10,18,6,5
10,19,0,0
10,20,0,0
10,21,0,0
10,22,1,2
10,23,0,0
10,24,1,0
10,25,2,0
10,26,0,0
10,27,0,0
10,28,1,0
10,29,1,0
10,30,0,0
10,31,0,0
10,32,1,0
10,33,3,0
10,34,2,0
10,35,1,0
10,36,0,0
10,37,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,10,0,0
11,11,1,1
11,12,0,0
11,13,0,0
11,14,6,2
11,15,0,0
11,16,0,0
11,17,0,0
11,18,1,0
11,19,0,0
11,20,1,0
11,21,0,0
11,22,0,0
11,23,0,0
11,24,0,0
13,1,0,0
13,2,0,0
13,3,1,0
13,4,0,0
13,5,0,1
13,6,0,0
13,7,0,0
13,8,0,0
13,9,2,0
13,10,1,0
13,11,0,0
13,12,0,0
13,13,0,0
13,14,0,2
13,15,1,0
13,16,0,1
13,17,1,0
13,18,2,1
13,19,1,0
13,20,0,0
13,21,2,0
13,22,4,0
13,23,5,0
13,24,3,0
13,25,1,0
13,26,0,0
13,27,2,0
13,28,0,0
13,29,3,0
13,30,0,0
13,31,0,0
13,32,2,0
13,33,2,0
13,34,2,0
13,35,2,0
13,36,3,2
13,37,2,2
13,38,4,2
13,39,4,1
13,40,0,0
14,1,0,0
14,2,1,0
14,3,0,0
14,4,0,0
14,5,0,1
14,6,1,0
14,7,1,0
14,8,3,1
14,9,1,0
14,10,0,0
14,11,0,0
14,12,0,0
14,13,0,0
14,14,0,0
14,15,0,0
14,16,0,0
14,17,0,0
14,18,0,0
14,19,0,0
14,20,2,0
14,21,1,0
14,22,0,0
14,23,3,0
14,24,5,1
14,25,3,0
14,26,2,1
14,27,0,0
14,28,0,2
14,29,4,0
14,30,4,2
14,31,3,0
14,32,5,0
14,33,0,0
14,34,6,2
14,35,0,0
14,36,0,0
14,37,5,0
15,1,1,0
15,2,0,0
15,3,0,0
15,4,0,0
15,5,1,0
15,6,0,0
15,7,1,0
15,8,0,0
15,9,0,0
15,10,0,0
15,11,0,0
15,12,0,0
15,13,0,0
15,14,0,0
15,15,4,0
15,16,1,0
15,17,0,0
15,18,0,0
15,19,0,0
15,20,0,0
15,21,0,0
15,22,2,0
15,23,0,0
15,24,0,0
15,25,0,0
15,26,0,0
15,27,0,0
15,28,1,0
15,29,0,0
15,30,0,0
15,31,3,1
15,32,1,0
16,1,2,0
16,2,3,1
16,3,6,0
16,4,4,0
16,5,2,0
16,6,1,0
16,7,2,0
16,8,2,0
16,9,4,1
16,10,1,0
16,11,2,0
16,12,2,0
16,13,0,0
16,14,3,0
16,15,1,0
16,16,1,0
16,17,3,0
16,18,3,2
16,19,3,0
16,20,8,0
16,21,5,1
18,1,0,0
18,2,1,0
18,3,0,0
18,4,0,0
18,5,0,0
18,6,0,0
18,7,0,0
18,8,0,0
18,9,2,0
18,10,1,0
18,11,1,0
18,12,0,0
18,13,0,0
18,14,0,0
18,15,0,0
18,16,1,0
18,17,0,0
18,18,1,0
18,19,0,1
18,20,0,1
18,21,0,0
18,22,5,3
18,23,1,1
18,24,0,0
18,25,4,0
18,26,3,0
18,27,2,1
18,28,5,0
18,29,4,1
18,30,6,1
18,31,5,1
18,32,0,0
20,1,0,0
20,2,0,0
20,3,0,0
20,4,0,0
20,5,0,0
20,6,0,0
20,7,0,0
20,8,0,0
20,9,0,0
20,10,0,0
20,11,0,0
20,12,0,0
20,13,0,0
20,14,0,0
20,15,0,0
20,16,0,0
20,17,0,0
20,18,0,0
20,19,0,0
20,20,0,0
20,21,1,0
20,22,0,0
20,23,0,0
20,24,0,0
20,25,0,0
20,26,0,0
20,27,0,0
20,28,0,0
20,29,1,0
20,30,0,0
20,31,0,0
20,32,1,0
20,33,2,1
20,34,3,1
20,35,0,0
20,36,0,0
20,37,0,0
20,38,0,0
20,39,3,0
20,40,0,0
20,41,1,0
20,42,0,0
21,1,2,0
21,2,0,0
21,3,3,0
21,4,1,0
21,5,2,0
21,6,2,0
21,7,0,0
21,8,5,0
21,9,0,0
21,10,4,0
21,11,3,0
21,12,1,0
21,13,1,0
21,14,9,0
21,15,5,2
21,16,10,7
21,17,4,0
21,18,0,0
21,19,0,0
21,20,0,0
21,21,0,0
22,1,0,0
22,2,0,0
22,3,0,0
22,4,0,0
22,5,0,0
22,6,0,0
22,7,0,0
22,8,0,0
22,9,0,0
22,10,0,0
22,11,0,0
22,12,0,0
22,13,0,0
23,1,0,0
23,2,0,0
23,3,0,0
23,4,0,0
23,5,0,0
23,6,0,0
23,7,0,0
23,8,0,0
23,9,0,0
23,10,0,0
23,11,0,0
23,12,0,0
23,13,0,0
23,14,0,0
23,15,0,0
23,16,0,0
23,17,0,0
23,18,0,0
23,19,0,0
23,20,0,0
23,21,0,0
23,22,0,0
23,23,0,0
23,24,0,0
23,25,0,0
23,26,0,0
23,27,0,0
23,28,0,0
23,29,0,0
23,30,0,0
23,31,0,0
23,32,0,0
23,33,0,0
23,34,0,0
23,35,0,0
23,36,0,0
23,37,0,0
23,38,0,0
23,39,2,12
23,40,0,0
23,41,0,0
23,42,0,0
23,43,0,0
23,44,0,0
23,45,0,0
23,46,0,0
23,47,0,0
23,48,0,0
23,49,0,0
23,50,0,0
23,51,0,0
23,52,0,0
23,53,0,0
23,54,0,0
23,55,0,0
23,56,0,0
23,57,0,0
23,58,0,0
23,59,0,0
23,60,0,0
23,61,0,0
23,62,0,0
23,63,0,0
23,64,0,0
23,65,0,0
23,66,0,0
23,67,0,0
23,68,4,1
23,69,7,2
23,70,3,0
23,71,0,0
23,72,1,0
23,73,2,1
23,74,4,4
23,75,0,0
23,76,1,0
23,77,5,0
23,78,7,0
23,79,4,0
23,80,9,0
23,81,1,0
23,82,2,6
23,83,5,1
23,84,7,0
23,85,4,0
23,86,17,2
23,87,11,1
23,88,4,0
24,1,0,0
24,2,0,0
24,3,0,0
24,4,0,0
24,5,0,0
24,6,0,0
24,7,1,0
24,8,0,0
24,9,0,0
24,10,0,0
24,11,0,0
24,12,0,0
24,13,0,0
24,14,0,0
24,15,0,0
25,1,1,0
25,2,0,0
25,3,0,0
25,4,0,0
25,5,0,0
25,6,0,0
25,7,0,0
25,8,0,0
25,9,0,0
25,10,0,0
25,11,0,0
25,12,0,0
25,13,0,0
25,14,1,0
25,15,0,0
25,16,0,0
25,17,0,0
25,18,3,0
25,19,2,0
25,20,8,1
25,21,1,0
25,22,0,0
25,23,0,0
26,1,3,0
26,2,0,1
26,3,1,4
26,4,4,1
26,5,3,5
26,6,2,1
26,7,4,4
26,8,2,5
26,9,3,5
26,10,2,16
26,11,1,0
26,12,0,1
26,13,5,5
26,14,0,10
26,15,7,11
26,16,11,10
26,17,1,1
27,1,3,0
27,2,1,1
27,3,0,5
27,4,5,6
27,5,2,0
27,6,5,3
27,7,1,6
27,8,5,9
27,9,1,0
27,10,0,0
27,11,1,8
27,12,5,4
27,13,2,3
27,14,4,5
27,15,10,7
27,16,1,0
28,1,1,0
28,2,0,0
28,3,1,0
28,4,2,0
28,5,3,3
28,6,3,1
28,7,2,5
28,8,0,3
