Location,Transect,width,quadrat,seed,xsmall,small,med,large,total count,weight 
Lloyd,5,17,3,18,18,41,48,14,139,14.6
Lloyd,5,17,5,6,4,30,9,4,53,5.2
Lloyd,5,17,10,15,21,44,13,11,104,8.2
Lloyd,7,18,5,8,10,14,5,3,40,6
Lloyd,7,18,12,10,38,36,16,4,104,10.2
Lloyd,7,18,13,0,15,12,3,3,33,4.6
Lloyd,18,14,1,11,8,5,9,19,52,7.8
Lloyd,18,14,5,13,23,68,18,11,133,12.6
Lloyd,18,14,8,1,29,60,2,1,93,10.2
Lloyd,30,11,3,17,1,13,13,2,46,5.4
Lloyd,30,11,8,12,16,23,22,14,87,6.6
Lloyd,30,11,10,23,15,19,17,1,75,7
Lloyd,49,9,3,10,27,15,1,0,53,2
Lloyd,49,9,5,13,7,14,11,4,49,6.8
Lloyd,49,9,8,10,25,17,16,11,79,6
Lloyd,76,21,4,3,3,11,7,0,24,4
Lloyd,76,21,7,15,4,32,26,24,101,12.4
Lloyd,76,21,11,2,19,14,19,0,54,5.8
Lloyd,79,18,1,14,13,7,9,0,43,3.6
Lloyd,79,18,4,0,32,32,27,16,107,12.8
Lloyd,79,18,11,16,22,43,18,8,107,10.6
Lloyd,84,19,1,14,32,25,39,7,117,10.2
Lloyd,84,19,8,25,43,42,17,3,130,7.2
Lloyd,84,19,15,5,22,61,30,13,131,14.2
Lloyd,86,17,8,1,19,32,10,8,70,8.6
Lloyd,86,17,11,8,17,13,10,3,51,4.8
Lloyd,86,17,12,7,22,55,11,4,99,9.8
Lloyd,95,20,1,17,12,20,18,4,71,5
Lloyd,95,20,8,32,4,26,29,12,103,11.6
Lloyd,95,20,15,3,34,17,11,1,66,6
