"","x"
"1",14
"2",13
"3",15
"4",13
"5",13
"6",15
"7",15
"8",16
"9",14
"10",12
"11",15
"12",15
"13",15
"14",14
"15",16
"16",14
"17",15
"18",15
"19",16
"20",18
"21",15
"22",13
"23",16
"24",16
"25",17
"26",17
"27",17
"28",15
"29",16
"30",17
"31",18
"32",20
"33",17
"34",14
"35",17
"36",18
"37",19
"38",17
"39",19
"40",18
"41",17
"42",20
"43",21
"44",22
"45",19
"46",17
"47",19
"48",19
"49",22
"50",19
"51",22
"52",18
"53",20
"54",23
"55",22
"56",25
"57",21
"58",18
"59",21
"60",23
"61",23
"62",21
"63",25
"64",20
"65",23
"66",25
"67",25
"68",30
"69",23
"70",19
"71",23
"72",25
"73",25
"74",24
"75",25
"76",22
"77",24
"78",25
"79",27
"80",29
"81",24
"82",20
"83",25
"84",25
"85",26
"86",26
"87",25
"88",24
"89",26
"90",26
"91",29
"92",31
"93",26
"94",23
"95",27
"96",27
"97",29
"98",26
"99",27
"100",26
"101",26
"102",29
"103",32
"104",34
"105",27
"106",25
"107",30
"108",30
"109",33
"110",29
"111",30
"112",29
"113",30
"114",34
"115",34
"116",37
"117",33
"118",27
"119",32
"120",33
"121",36
"122",33
"123",35
"124",31
"125",33
"126",40
"127",38
"128",44
"129",34
"130",30
"131",36
"132",38
"133",39
"134",37
"135",38
"136",34
"137",38
"138",42
"139",42
"140",46
"141",37
"142",35
"143",43
"144",40
"145",42
"146",43
"147",40
"148",39
"149",43
"150",45
"151",47
"152",51
"153",42
"154",39
"155",46
"156",45
"157",49
"158",49
"159",44
"160",45
"161",46
"162",51
"163",54
"164",58
"165",47
"166",43
"167",51
"168",51
"169",56
"170",52
"171",52
"172",52
"173",52
"174",58
"175",60
"176",61
"177",54
"178",49
"179",57
"180",57
"181",63
"182",57
"183",57
"184",56
"185",60
"186",67
"187",64
"188",74
"189",60
"190",54
"191",62
"192",67
"193",67
"194",66
"195",64
"196",61
"197",71
"198",69
"199",70
"200",80
"201",67
"202",59
"203",71
"204",73
"205",72
"206",78
"207",72
"208",69
"209",74
"210",76
"211",77
"212",81
"213",76
"214",65
"215",82
"216",77
"217",80
"218",81
"219",72
"220",74
"221",80
"222",80
"223",82
"224",81
"225",76
"226",67
"227",87
"228",80
"229",85
"230",83
"231",73
"232",77
"233",76
"234",85
"235",86
"236",83
"237",86
"238",73
"239",82
"240",82
"241",88
"242",80
"243",77
"244",77
"245",78
"246",87
"247",82
"248",84
"249",86
"250",72
"251",81
"252",85
"253",86
"254",82
"255",82
"256",73
"257",78
"258",89
"259",78
"260",86
"261",82
"262",73
"263",83
"264",86
"265",85
"266",84
"267",82
"268",75
"269",82
"270",89
"271",86
"272",98
"273",77
"274",72
"275",83
"276",83
"277",83
"278",85
"279",82
"280",78
"281",86
"282",85
"283",86
"284",98
"285",77
"286",73
"287",83
"288",81
"289",84
"290",87
"291",79
"292",81
"293",83
"294",87
"295",89
"296",95
"297",78
"298",71
"299",83
"300",84
"301",89
"302",84
"303",82
"304",86
"305",81
"306",91
"307",92
"308",95
"309",82
"310",72
"311",83
"312",84
"313",93
"314",83
"315",84
"316",85
"317",87
"318",92
"319",88
"320",100
"321",86
"322",75
"323",82
"324",91
"325",92
"326",88
"327",90
"328",84
"329",87
"330",98
"331",88
"332",105
"333",81
"334",76
"335",88
"336",92
"337",88
"338",90
"339",89
"340",85
"341",91
"342",93
"343",93
"344",109
"345",82
"346",78
"347",94
"348",91
"349",96
"350",98
"351",91
"352",91
"353",97
"354",97
"355",100
"356",112
"357",88
"358",83
"359",101
"360",97
"361",103
"362",103
"363",95
"364",98
"365",102
"366",104
"367",107
"368",119
"369",96
"370",87
"371",105
"372",101
"373",108
"374",106
"375",103
"376",104
"377",100
"378",112
"379",111
"380",119
"381",101
"382",95
"383",100
"384",107
"385",112
"386",106
"387",109
"388",101
"389",107
"390",116
"391",105
"392",128
"393",98
"394",90
"395",106
"396",110
"397",111
"398",112
"399",114
"400",102
"401",111
"402",113
"403",109
"404",129
"405",97
"406",92
"407",110
"408",110
"409",109
"410",114
"411",109
"412",104
"413",114
"414",111
"415",111
"416",131
"417",98
"418",93
"419",111
"420",107
"421",114
"422",116
"423",107
"424",106
"425",115
