Location,Year Built,Inspected,Status,Condition
JCT US 9 & HARLEM RIVER,1961,11/30/2007,FO,4.014
4 MI NE ROUTE 9A+79 ST,1939,12/11/2008,FO,4.268
6.4 MI NE ROUTE 9A+79 ST,1937,8/1/2007,SD,4.422
SH 9A & SPUYTEN DUYVIL CK,1937,8/15/2007,FO,3.625
JCT SH 9A & HARLEM RIVER,1935,9/7/2007,SD,3.358
WEST SIDE HIGHWAY-W 59 ST,1931,8/24/2007,SD,4.831
6.5 MI NE ROUTE 9A+79 ST,1937,8/23/2007,FO,5.104
QUEENSBORO BR OVR EAST RV,1909,12/8/2008,FO,4.208
QUEENSBORO BR OVR EAST RV,1929,7/10/2008,FO,4.547
QUEENSBORO BR OVR EAST RV,1952,10/2/2008,FO,4.985
QUEENSBORO BR OVR EAST RV,1909,5/9/2008,FO,5.708
QUEENSBORO BR OVR EAST RV,1909,5/9/2008,FO,5.254
QUEENSBORO BR OVER EAST R,1909,12/8/2008,FO,4.34
QUEENBORO BR OVER EAST RV,1909,5/19/2008,FO,4.537
RTE 27 OVER EAST RIVER,1909,11/24/2008,FO,5.014
RTE 27 OVER EAST RIVER,1909,11/24/2008,FO,4.214
I95 OVER HUDSON RIVER- UL,1931,10/29/2007,FO,3.814
95I OVER HUDSON RIVER  LL,1962,12/3/2007,FO,4.343
I95 OVER HUDSON RIVER,1962,9/12/2007,FO,4.127
IN WEST MANHATTAN,1954,11/8/2007,FO,5
IN WEST MANHATTAN,1934,12/30/2008,FO,4.028
IN WEST MANHATTAN,1936,4/10/2008,FO,4.471
OVER HARLEM RIVER,1900,12/7/2007,FO,6.333
0.7MI SW JCT EAST R &495I,1939,6/7/2007,FO,4.696
IN WEST MANHATTAN,1954,10/19/2007,FO,5.033
0.8MI SW JCT EAST R &495I,1939,6/7/2007,FO,5.684
IN SE END OF CENTRAL PK,1950,1/23/2008,FO,5
IN CENTRAL PARK,1900,3/14/2008,FO,6.018
IN CENTRAL PARK,1920,1/25/2008,FO,4.633
IN CENTRAL PARK,1920,1/29/2008,FO,4.263
79 ST RAMP TO BOAT BASIN,1935,5/31/2007,FO,4.532
79 ST BOAT BASIN,1935,7/6/2007,SD,3.934
JCT OF RTE 9A + 79 ST,1937,12/24/2008,FO,4.288
1.3 MI NE FDR DR & SH 25,1942,6/22/2007,FO,4.591
3.7 MI NE FDR DR+BKLYN BR,1947,4/13/2008,FO,5.014
JCT.FDR DRIVE & 34TH ST.,1966,9/14/2008,SD,3.985
FDR DR AHD E96 STREET,1954,10/2/2008,FO,4.879
.9 MI NE FDR DR+BATTERY,1954,8/26/2008,FO,4.507
JCT FDR DRIVE & 34TH ST,1966,6/26/2008,FO,4.161
.2 MI SW JCT FDR DR.&SH25,1941,12/19/2008,N,6.62
.9 MI NE FDR DR+BATTERY,1954,2/29/2008,SD,3.716
.9 MI NE FDR DR+BATTERY,1954,3/2/2008,FO,4.967
BROOKLYN BR OVER EAST RVR,1964,12/20/2008,FO,4.074
.9 MI NE FDR DR+BATTERY,1954,2/27/2008,FO,3.761
EAST RIVER PARK,1953,1/30/2008,FO,4.471
EAST RVR DRIVE N.B. RAMP,1953,2/1/2008,N,4.625
JCT FDR DRIVE & 34TH ST,1966,5/1/2008,FO,3.915
JCT.FDR DRIVE & 34TH ST.,1949,12/30/2008,FO,3.648
EAST 48TH ST & FDR DRIVE,1998,11/19/2008,FO,6.648
3.6 MI NE JCT FDR & SH 25,1958,9/11/2008,SD,3.269
5.1 MI NE JCT FDR DR&SH25,1960,12/14/2007,FO,4.732
2 MI N JCT TRIBO BR & HRD,1966,7/2/2008,FO,4.5
5.6 MI NE FDR DR+ROUTE 25,1966,5/14/2007,FO,4.417
OVER HARLEM RVR IN HARLEM,1953,6/6/2008,SD,4.299
4.2 MI NE FDR DR+ROUTE 25,1963,3/19/2008,FO,4.667
4.4 MI NE FDR DR+ROUTE 25,1963,3/15/2008,FO,4.347
5.8 MI NE FDR DR+ROUTE 25,1966,5/6/2008,FO,4.042
1.9 MI N OF G WASH BR,1936,1/24/2008,FO,5.571
JCT OF US 9A & 72ND STREE,1937,12/23/2008,FO,3.373
.3 MI NE JCT SH9A&79TH ST,1938,1/22/2008,FO,5.267
.7 MI NE ROUTE 9A+79 ST,1938,2/17/2008,FO,4.364
JCT.96TH ST & H.HUDSON PK,1936,11/25/2008,FO,3.71
1 MI NE ROUTE 9A+79 ST,1938,3/10/2008,FO,5.3
3 MI NE ROUTE 9A+79 ST,1939,5/27/2008,FO,4.803
RTE 9A NEAR 148 ST,1936,2/19/2008,FO,5.476
1.7 MI N OF G WASH BR,1936,1/23/2008,FO,5.286
.7 MI NE ROUTE 9A+79 ST,1938,2/17/2008,FO,4.636
1 MI NE ROUTE 9A+79 ST,1938,3/14/2008,FO,5.133
.1 MI W OF EXIT 7 - HHP,1938,2/7/2008,FO,5
5 MI NE JCT SH9A &79TH ST,1937,8/21/2007,N,4.817
5.2 MI NE ROUTE 9A+79 ST,1939,2/7/2008,FO,5
1 MI N OF GEO WASH BRIDGE,1939,4/24/2008,N,5.143
6.4 MI NE ROUTE 9A+79 ST,1939,11/14/2008,FO,4.594
