Year,Winner,Country of Orign,Time H.M.S,Avg Speed (km/hr),Stages,Km Ridden,Starting Riders,Finishing Riders
1903,Maurice Garin,Fra,94.33.00,25.3,6,2428,60,21
1904,Henri Cornet,Fra,96.05.00,24.3,6,2388,88,23
1905,LouisTrousselier,Fra,112.18.09,27.3,11,2975,60,24
1906,Rene Pottier,Fra,185.47.26,24.5,13,4637,82,14
1907,Lucien Petit-Breton,Fra,156.22.30,28.5,14,4488,93,33
1908,Lucien Petit-Breton,Fra,156.09.31,28.7,14,4488,114,36
1909,Francois Faber,Lux,156.55.10,28.7,14,4497,150,55
1910,Octave Lapize,Fra,163.52.38,28.7,15,4700,110,44
1911,Gustave Garrigou,Fra,195.35.25,27.3,15,5544,84,28
1912,Odile Defraye,Bel,184.50.00,27.9,15,5229,131,41
1913,Philippe Thijs,Bel,197.54.00,27.6,15,5387,140,25
1914,Philippe Thijs,Bel,200.28.49,27,15,5414,145,54
1919,Firmin Lambot,Bel,231.07.15,25,15,5560,69,10
1920,Philippe Thijs,Bel,228.36.00,24.1,15,5503,113,22
1921,Leon Scieur,Bel,221.50.00,24.7,15,5484,123,38
1922,Firmin Lambot,Bel,222.08.06,24.2,15,5378,120,38
1923,Henri Pelissier,Fra,222.15.30,24.4,15,5386,139,48
1924,Ottavia Bottechia,Ita,226.18.21,24,15,5427,157,60
1925,Ottavia Bottechia,Ita,219.10.13,24.8,18,5430,130,49
1926,Lucien Buysse,Bel,238.44.25,24.1,17,5475,126,41
1927,Nicolas Frantz,Lux,198.16.42,26.8,24,5348,142,39
1928,Nicolas Frantz,Lux,192.48.58,27.8,22,5377,162,41
1929,Maurice Dewaele,Bel,186.39.16,28.3,22,5286,155,60
1930,Andre Leducq,Fra,172.12.10,28,21,4818,100,50
1931,Antonin Magne,Fra,177.10.03,28.8,24,5095,81,35
1932,Andre Leducq,Fra,154.11.49,29.2,21,4502,80,57
1933,Georges Speicher,Fra,147.51.37,26.7,23,4395,80,40
1934,Antonin Magne,Fra,147.03.58,29.5,23,4363,60,39
1935,Romain Maes,Bel,141.32.00,30.6,21,4302,93,46
1936,Sylvere Maes,Bel,142.47.32,31.1,21,4442,90,43
1937,Roger Lapebie,Fra,138.58.31,31.7,20,4415,98,45
1938,Gino Bartali,Ita,148.29.12,31.6,21,4694,96,55
1939,Sylvere Maes,Bel,132.03.17,31.9,18,4224,79,49
1947,Jean Robic,Fra,148.11.25,31.4,21,4648,100,53
1948,Gino Bartali,Ita,147.10.36,33.4,21,4813,120,55
1949,Fausto Coppi,Ita,149.40.49,32.1,21,4813,120,55
1950,Ferdi Kubler,Swi,145.36.56,32.8,22,4776,116,51
1951,Hugo Koblet,Swi,142.20.14,31.4,24,4474,123,66
1952,Fausto Coppi,Ita,151.57.20,31.6,23,4707,122,78
1953,Louison Bobet,Fra,129.23.25,34.6,22,4479,120,76
1954,Louison Bobet,Fra,140.06.50,34.6,23,4855,110,69
1955,Louison Bobet,Fra,130.29.26,34.4,22,4495,130,69
1956,Roger Walkoviak,Fra,124.01.16,36.5,22,4528,120,88
1957,Jacques Anquetil,Fra,135.44.42,34.5,22,4665,120,56
1958,Charly Gaul,Lux,116.59.05,36.9,24,4319,120,78
1959,Federico Bahamontes,Spa,113.50.54,35.2,22,4363,120,65
1960,Gastone Nencini,Ita,112.08.42,37.2,21,4172,128,81
1961,Jacques Anquetil,Fra,122.01.33,36.3,21,4394,132,72
1962,Jacques Anquetil,Fra,114.31.54,37.3,22,4274,149,94
1963,Jacques Anquetil,Fra,113.30.05,36.5,21,4141,130,76
1964,Jacques Anquetil,Fra,127.09.44,35.6,22,4505,132,81
1965,Felice Gimondi,Ita,116.42.06,35.9,22,4176,130,96
1966,Lucien Aimar,Fra,117.34.21,36.6,22,4329,130,82
1967,Roger Pingeon,Fra,136.53.50,34.8,22,4780,130,88
1968,Jan Janssen,Ned,133.49.42,34.9,22,4675,110,63
1969,Eddy Merckx,Bel,116.16.02,35.3,22,4102,130,86
1970,Eddy Merckx,Bel,119.31.49,36.5,23,4367,150,100
1971,Eddy Merckx,Bel,96.45.14,36.9,20,3689,129,94
1972,Eddy Merckx,Bel,108.17.18,35.4,22,3847,132,88
1973,Luis Ocana,Spa,122.25.34,33.9,20,4140,132,88
1974,Eddy Merckx,Bel,116.16.58,35.2,22,4098,130,105
1975,Bernard Th?enet,Fra,114.35.31,34.9,22,3999,140,83
1976,Lucien Van Impe,Bel,116.22.23,34.5,22,4016,130,87
1977,Bernard Th?enet,Fra,115.38.30,34.6,22,4000,100,53
1978,Bernard Hinault,Fra,108.18.00,37.9,22,4103,110,78
1979,Bernard Hinault,Fra,103.06.50,39.8,24,4108,150,90
