PLAYER,Earnings,Drive Distance,Events,Earn/Event,Age,Drive Accuracy,Greens in Reg,Putt avg,Save%,Rounds
Tiger Woods,9941563,306.4,15,662770.87,31,60.7,74.1,1.756,55.2,52
Jim Furyk,7213316,281.9,24,300554.83,37,73.8,70.7,1.742,47.6,88
Adam Scott,4978858,301.1,19,262045.16,26,62,69.1,1.767,53.6,68
Vijay Singh,4602417,293.7,27,170459.89,44,59.4,67.8,1.753,55.1,100
Geoff Ogilvy,4354970,295.3,20,217748.5,30,61.9,62.9,1.769,56.7,70
Phil Mickelson,4256506,300.7,19,224026.63,37,58.6,68.3,1.731,40.4,69
Trevor Immelman,3844189,294.9,24,160174.54,27,62.1,69.1,1.771,55,86
Stuart Appleby,3470458,289.7,23,150889.48,36,59.6,63.5,1.743,56.7,78
Luke Donald,3177409,283.7,18,176522.72,29,66.9,66,1.752,63.6,64
Brett Wetterich,3023184,307.8,25,120927.36,33,61.5,67.8,1.766,52.9,82
David Toms,2911187,285.4,22,132326.68,40,69.2,66.2,1.759,59.4,69
Rory Sabbatini,2861752,290.4,24,119239.67,31,56.5,64.5,1.781,54.5,83
Joe Durant,2811139,289.1,28,100397.82,43,78.4,69.7,1.785,41.5,101
Chad Campbell,2811066,290.9,25,112442.64,33,59.8,67.4,1.795,58.5,87
Stewart Cink,2755910,292,26,105996.54,34,59.7,64.9,1.756,57.3,88
Davis Love III,2747207,301.9,23,119443.78,43,59.9,66.6,1.751,44.9,76
Rod Pampling,2664674,288.2,24,111028.08,37,60.5,62.5,1.745,59.1,84
Carl Pettersson,2647983,286.6,28,94570.821,29,61,62.3,1.776,53,93
Retief Goosen,2617453,297.6,18,145414.06,38,57.3,65.5,1.771,49.5,60
Brett Quigley,2617419,289.6,33,79315.727,37,58.9,67.8,1.779,53.6,105
Lucas Glover,2587983,299.4,31,83483.323,27,63.7,67.3,1.763,47.5,101
Dean Wilson,2509858,282.9,34,73819.353,37,63.5,65.3,1.765,55.3,111
Arron Oberholser,2467771,285,23,107294.39,32,62.5,69.3,1.775,47.2,79
Zach Johnson,2452251,283.7,27,90824.111,31,69.6,66.9,1.774,47.3,88
"Tom Pernice, Jr.",2396547,283.9,33,72622.636,47,65.3,64.5,1.756,51.7,104
Stephen Ames,2395155,289.8,22,108870.68,43,63,64.4,1.752,45.5,64
K.J. Choi,2376549,287,26,91405.731,39,65,68.1,1.792,56.5,92
Ernie Els,2326220,295.1,18,129234.44,37,57.6,63.7,1.759,53.2,64
J.J. Henry,2301480,295.9,28,82195.714,32,60,68.2,1.788,39.7,93
Ben Curtis,2256327,278.8,26,86781.808,30,66.6,65.2,1.798,45,86
Jose Maria Olazabal,2120423,287.2,18,117801.28,41,59.7,65.5,1.77,54.4,58
Tim Clark,1974932,276.7,22,89769.636,31,67.3,66,1.763,47.9,79
Mike Weir,1883724,281.2,24,78488.5,37,64.1,66.5,1.752,53.8,85
Steve Stricker,1811812,285.3,17,106577.18,40,67,68,1.734,62,62
Vaughn Taylor,1783947,286.6,26,68613.346,31,63.3,64.1,1.725,57.4,88
Troy Matteson,1778597,298.7,32,55581.156,27,59.4,66.3,1.803,47.2,101
Tim Herron,1776142,294.8,27,65783.037,37,58.3,62.6,1.802,51.9,81
Camilo Villegas,1742112,302.1,29,60072.828,25,58.1,65.3,1.78,45.2,93
Jerry Kelly,1737800,278.1,31,56058.065,40,70.3,67.1,1.781,54.1,100
Scott Verplank,1729319,276.1,25,69172.76,43,75.2,66,1.755,50.4,86
Nathan Green,1700802,282,30,56693.4,32,63.1,63,1.757,53.1,104
Tom Lehman,1692083,286.6,21,80575.381,48,61,64.8,1.827,39.4,61
Jason Bohn,1676892,289,29,57823.862,34,66.8,65.9,1.797,52.9,104
Frank Lickliter II,1655679,286.1,29,57092.379,37,66.6,68,1.763,45.6,97
John Senden,1650674,296.2,28,58952.643,36,64.9,71.1,1.793,52,93
Shaun Micheel,1632842,288.4,29,56304.897,38,61.8,67.6,1.777,46.3,93
Justin Rose,1629286,291.4,28,58188.786,26,64,67.9,1.759,52.3,95
Fred Funk,1579838,272.8,29,54477.172,51,78,66.3,1.785,52.4,106
Sergio Garcia,1560734,292.7,17,91807.882,27,61.1,67.5,1.802,46.7,55
Richard S. Johnson,1555375,283.4,30,51845.833,30,68,64.6,--,46.8,96
Ian Poulter,1553906,287.9,15,103593.73,31,70.2,66,1.772,50.7,52
