Sex,Survive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
Female,Alive
