Price,Size
142.212,1.982
134.865,1.676
118.007,1.694
138.297,1.8
129.47,2.088
206.512,1.456
50.709,0.96
108.794,1.464
68.353,1.216
123.266,1.632
309.808,2.27
157.946,1.804
80.248,1.6
135.708,1.46
173.723,1.548
140.51,1.59
122.221,1.17
151.917,1.51
235.105,2.299
259.999,2.577
211.517,2.328
102.068,1.172
128.44,1.554
115.659,1.242
145.583,1.376
116.289,1.107
238.792,2.25
221.925,2.472
310.696,2.843
139.079,1.4
109.578,1.342
65.325,0.813
89.893,1.48
87.588,1.392
132.311,1.512
131.411,1.512
158.863,1.696
130.49,1.595
88.207,1.48
178.767,2.291
148.246,1.391
205.073,2.501
185.323,1.662
71.904,0.957
82.556,1.48
199.684,2.275
122.221,1.44
81.762,1.008
84.291,1.48
206.512,2.116
105.363,1.1
45.004,0.96
62.105,1.228
103.508,1.56
157.513,2.164
79.893,2.634
88.77,1
115.312,0.912
118.952,1.572
103.861,1.7
112.649,1.35
127.385,1.416
153.129,1.56
143.808,1.572
133.067,1.326
226.742,1.989
98.652,1.158
111.394,1.272
101.418,1.852
139.219,2.308
115.248,1.7
99.574,1.628
224.818,2.738
108.459,1.292
107.919,1.056
45.904,1.328
83.617,1.272
154.723,1.944
101.258,1.232
118.949,1.164
128.717,1.215
136.379,1.486
124.367,1.272
62.938,1.064
172.016,1.547
106.524,1.148
147.412,1.821
111.221,1.056
75.862,0.995
109.578,1.176
119.166,0.912
185.318,1.5
104.749,1.852
44.674,1.214
80.54,1.38
93.773,1.324
109.999,1.218
16.858,1.629
114.326,1.053
106.524,1.308
160.995,1.344
139.079,1.608
59.003,3.285
147.425,1.582
144.695,1.642
130.229,1.248
119.84,1.411
129.723,1.593
133.595,1.666
126.311,1.471
167.693,1.876
103.958,1.486
155.488,1.747
152.112,1.512
228.619,2.527
139.435,1.666
161.923,1.456
261.011,3.015
120.115,0.967
153.013,1.72
298.923,3.515
271.791,2.815
126.498,0.72
267.731,3.001
181.979,1.822
145.663,1.666
128.273,1.343
106.524,1.144
101.997,1.214
110.963,1.888
147.625,1.668
466.044,3.853
116.321,1.486
194.88,2.278
143.294,1.36
387.652,3.504
240.89,1.921
260.46,3.726
90.354,0.912
192.694,2.079
102.801,1.184
79.567,0.908
101.708,1.492
162.913,2.011
75.606,0.912
175.874,2.195
159.313,1.561
207.237,2.656
205.397,2.425
79.116,0.908
161.923,1.158
133.155,1.334
159.786,1.561
102.405,1.68
114.514,1.514
162.006,1.656
93.815,1.184
181.14,2.648
137.309,1.092
136.551,1.88
107.049,1.592
163.524,2.516
181.14,2.31
317.12,3.076
77.547,0.908
81.762,0.912
147.517,1.68
263.226,3.355
163.191,1.886
125.92,1.605
164.623,1.772
161.562,2.044
163.781,1.124
235.152,3.192
120.639,1.498
123.834,1.092
76.342,0.896
79.982,1.572
69.152,0.986
71.647,2.087
140.765,1.596
91.792,0.908
134.865,1.5
139.079,1.719
244.443,2.81
162.091,1.806
263.226,3.355
126.01,1.76
173.102,1.896
120.639,1.498
139.079,1.248
189.654,2.32
89.432,1.132
196.317,2.359
209.122,3.476
140.602,1.693
170.567,1.585
111.875,1.758
225.885,2.524
163.652,1.908
119.858,1.476
212.83,2.266
142.907,1.92
193.524,1.73
189.836,1.726
154.432,1.644
248.204,1.908
175.514,2.475
297.024,3.02
175.514,2.31
201.616,2.119
562.546,5.228
172.814,2.056
232.894,2.5
169.124,2.576
232.219,2.541
247.52,2.445
224.928,2.185
294.133,3.981
228.806,2.577
170.6,1.728
175.784,1.837
229.055,2.5
157.513,1.91
308.75,2.958
202.157,2.564
241.885,2.604
297.38,2.906
119.751,1.48
175.321,2.648
153.129,1.872
156.679,1.911
102.086,1.302
149.933,1.664
228.375,2.512
261.872,2.38
161.118,1.887
190.856,2.086
140.701,1.554
368.396,3.358
250.976,2.394
180.032,2.066
332.888,3.111
177.452,2.402
219.262,2.327
254.327,2.541
197.105,1.894
166.888,1.74
115.401,1.48
208.61,1.752
107.892,1.375
143.294,1.918
282.373,2.793
239.301,2.619
143.21,1.744
379.678,3.72
221.263,2
111.264,1.142
252.872,2.612
172.315,2.008
182.068,2.035
94.405,1.375
26.13,0.822
308.218,3.597
117.164,1.536
173.639,1.91
282.289,3.017
198.083,1.971
100.306,1.314
181.225,1.944
103.677,1.375
86.651,1.14
96.934,1.48
130.65,2.11
105.843,0.972
114.513,0.96
160.426,2.262
105.363,0.864
189.995,2.15
104.084,1.17
210.081,1.596
137.508,1.53
111.436,1.38
74.422,1.708
107.912,1.308
123.757,1.416
139.8,1.9
77.921,1.704
145.123,1.372
104.412,1.48
391.842,3.003
118.468,1.298
176.698,1.772
63.852,1.536
212.103,1.4
146.611,1.58
113.444,1.656
47.63,1.235
63.101,1.628
51.183,1.144
92.436,1.3
114.513,1.56
177.604,2.172
269.063,3.319
127.303,1.21
133.612,1.768
137.508,1.164
145.147,1.832
107.306,1.276
260.228,2.092
104.412,2.116
120.476,1.248
118.409,2.128
146.611,1.056
85.56,2.068
205.498,3.069
163.478,2.334
137.54,1.551
116.862,1.456
109.633,0.775
156.606,1.756
139.418,1.296
122.229,1.404
179.524,1.632
111.633,1.564
134.266,1.501
130.239,1.586
121.68,1.412
199.187,2.223
126.311,1.37
265.637,3.03
229.915,2.103
161.473,1.56
150.909,1.512
287.36,3.133
189.912,2.316
109.04,1.198
144.561,1.292
90.678,0.957
89.955,1.216
122.082,2.256
84.333,2.043
144.571,1.512
180.803,1.57
198.622,1.616
120.192,1.404
163.102,1.552
184.515,1.472
189.654,2.367
135.82,1.475
150.022,1.632
189.776,1.964
196.603,2.064
161.839,1.601
202.836,2.284
156.797,1.672
222.198,2.495
103.262,1.176
253.545,1.498
116.17,1.272
112.509,1.138
355.529,2.186
204.643,1.743
135.011,2.488
106.659,0.936
323.819,2.592
135.011,1.327
126.01,0.864
216.018,1.216
446.436,3.467
133.155,1.48
146.471,0.892
329.484,2.786
509.488,3.53
110.963,1.568
300.931,0.847
255.303,2.242
150.909,1.374
184.109,1.92
173.446,2.124
127.74,1.48
213.048,2.022
114.07,1.098
205.947,1.224
209.226,2.55
134.378,1.279
113.371,1.177
261.301,1.859
218.734,2.219
254.944,2.579
143.252,1.568
99.463,0.912
123.064,1.209
243.305,2.242
212.846,2.27
378.465,3.457
263.408,1.738
189.654,1.334
357.384,2.322
265.515,1.87
168.497,1.888
132.088,1.368
130.518,1.2
92.519,1.368
229.761,2.23
231.298,1.8
152.822,1.043
224.888,1.2
738.919,4.372
244.124,2.346
148.989,0.792
236.936,2.3
261.031,2.28
246.976,1.652
120.476,2.238
168.065,1.016
173.794,1.97
213.901,1.68
217.797,1.386
171.885,1.55
286.474,2.058
763.931,4.39
882.341,5.632
174.94,1.126
261.647,1.85
138.424,1.673
148.967,2.208
200.94,1.116
234.429,1.47
476.301,2.986
333.411,3.356
247.639,1.016
122.796,1.612
279.083,1.908
177.124,1.064
160.007,2.078
154.798,2.47
373.227,2.058
122.257,1.4
165.213,1.664
128.04,1.488
120.476,1.12
64.174,0.672
124.492,1.164
111.534,1.032
114.59,1.736
97.783,1.061
64.552,1.298
114.238,1.164
57.678,0.924
89.232,0.96
72.189,1.594
210.081,2.008
126.049,1.268
98.79,1.48
103.408,1.034
102.806,1.48
159.843,1.35
111.353,1.248
234.954,2.294
103.256,1.492
81.58,1.336
229.18,2.31
116.882,1.542
154.238,1.984
100.839,1.48
122.257,1.856
128.04,1.688
102.806,1.248
236.055,2.405
91.672,1.392
130.757,1.394
200.793,1.94
•,0.945
202.836,2.068
60.238,1.664
40.932,1.32
92.519,1.281
148.692,1.397
123.91,1.62
103.258,1.344
394.532,3.361
187.104,2.04
97.476,1.219
125.562,1.253
208.048,1.876
334.556,3.296
134.933,1.496
178.14,2.2
345.364,3.308
285.5,3.328
228.904,1.824
207.018,2.147
257.015,2.093
160.635,1.336
329.221,2.934
136.499,1.152
121.279,1.348
240.952,2.376
340.545,2.926
176.846,2.249
312.448,2.919
314.912,3.423
171.885,1.536
225.742,2.216
240.639,2.572
236.742,2.412
99.311,1.281
136.192,1.623
223.266,2.619
133.215,1.364
77.65,1.62
150.505,1.785
169.343,1.796
115.566,1.184
154.528,1.785
218.184,2.655
366.772,3.2
199.99,2.011
303.599,3.329
94.774,1.24
98.389,1.184
110.115,1.385
160.349,1.732
75.094,0.728
152.404,1.508
154.314,1.466
99.311,0.69
110.77,0.911
157.37,1.656
148.203,1.782
85.585,0.912
137.606,1.508
110.889,1.266
96.004,0.912
119.001,1.506
74.421,1.928
145.123,1.536
163.728,1.811
193.497,1.948
73.892,0.864
113.367,1.76
162.984,1.872
202.8,2.25
84.291,0.924
98.632,1.406
155.713,3.535
146.626,1.561
92.932,0.988
164.419,1.785
218.184,2.655
174.208,2.372
200.713,2.504
102.003,1.184
85.939,1.527
210.672,1.764
98.389,1.184
102.806,1.168
111.239,0.912
100.397,0.912
117.703,1.492
152.786,1.508
87.852,1.27
180.67,2.31
55.817,1.688
230.708,2.548
93.846,1.385
243.276,3.271
226.304,1.921
119.784,1.56
108.478,1.84
154.696,1.704
198.622,1.971
167.776,3.106
84.291,0.924
126.436,1.216
129.609,1.635
137.127,1.892
277.235,2.95
209.555,2.539
101.193,1.375
104.084,1.302
99.045,0.937
334.556,3.376
186.605,2.328
210.646,1.994
230.414,2.623
208.253,2.602
104.084,1.48
94.584,0.924
233.155,3.236
227.994,1.973
115.649,1.422
137.044,1.352
261.846,2.772
168.739,1.62
236.936,2.5
197.581,1.702
297.174,2.748
155.414,2.31
141.76,1.74
214.367,2.5
146.981,1.832
268.26,2.657
69.876,0.976
143.768,1.612
130.917,1.456
187.701,1.992
240.872,2.348
206.415,2.676
191.79,2.304
312.434,3.44
217.226,2.593
176.618,2.162
152.786,1.578
190.983,2.088
99.082,0.924
148.585,1.734
129.868,1.792
304.045,2.96
265.848,2.993
187.087,2.027
220.776,2.421
161.19,1.758
184.108,2.702
179.524,2.6
244.382,2.572
213.137,2.498
244.441,2.396
263.938,2.641
271.578,3.123
119.937,2.028
504.119,3.721
140.945,1.873
236.819,2.608
91.672,0.929
93.2,0.924
118.409,1.227
180.288,2.294
87.852,0.976
237.583,2.762
357.138,2.618
198.622,2.024
148.967,1.864
133.688,1.78
156.53,1.734
178.76,2.014
103.633,1.314
182.334,2.262
204.661,1.927
74.422,2.708
161.496,1.91
89.306,1.48
152.491,1.875
160.007,1.665
212.103,2.17
171.171,1.822
171.171,1.784
162.612,1.348
95.26,1.48
130.239,1.052
125.029,1.836
137.681,1.728
175.084,2.214
328.491,2.733
282.655,2.931
292.524,2.9
140.658,2.254
215.824,2.056
165.957,1.212
177.998,2.564
260.887,2.176
325.262,3.496
114.827,1.332
96.958,1.244
104.339,1.29
146.609,1.989
150.798,1.212
207.347,2.119
199.9,1.808
133.199,1.716
167.253,1.872
97.682,1.548
79.17,1.536
112.877,1.38
78.191,1.08
110.738,1.8
101.227,1.754
69.463,1.17
167.319,2.088
151.95,1.89
188.497,1.742
108.002,1.544
104.371,1.463
69.814,0.84
116.938,0.988
200.791,1.68
162.631,1.804
166.222,1.498
146.978,1.656
156.82,1.72
170.534,1.82
209.371,2.076
153.59,1.82
124.585,1.468
122.044,1.637
224.668,2.526
116.589,1.322
179.572,1.736
190.444,1.836
213.249,1.643
181.399,1.842
193.565,2.167
148.231,1.475
337.918,3.026
124.669,1.092
167.975,2.311
90.446,1.256
101.23,1.04
91.386,1.12
149.078,1.664
121.973,2.268
123.827,1.302
109.259,1.239
473.938,0.78
107.766,1.272
578.856,2.472
191.746,1.666
146.161,0.984
140.238,1.322
506.149,2.586
107.513,1.008
157.43,1.092
330.219,2.576
432.845,3.25
240.857,1.445
251.259,1.932
169.647,1.43
205.95,1.474
338.596,1.908
268.783,2.329
118.585,0.936
113.74,1.92
257.499,1.675
152.466,1.6
114.519,1.428
247.839,1.536
181.516,1.924
138.914,1.576
108.421,1.288
107.411,0.84
166.019,1.11
93.174,0.784
599.701,5.114
231.749,1.98
137.22,1.29
279.522,2
250.723,2.49
452.745,1.764
142.057,0.952
111.546,1.56
262.461,2.932
492.114,2.563
298.549,2.31
156.164,1.792
183.657,1.25
160.692,1.5
