Time of Day,Time (Sec)
Early (7AM),68
Early (7AM),138
Early (7AM),75
Early (7AM),186
Early (7AM),68
Early (7AM),217
Early (7AM),93
Early (7AM),90
Early (7AM),71
Early (7AM),154
Early (7AM),166
Early (7AM),130
Early (7AM),72
Early (7AM),81
Early (7AM),76
Early (7AM),129
Evening (5 PM),299
Evening (5 PM),367
Evening (5 PM),331
Evening (5 PM),257
Evening (5 PM),260
Evening (5 PM),269
Evening (5 PM),252
Evening (5 PM),200
Evening (5 PM),296
Evening (5 PM),204
Evening (5 PM),190
Evening (5 PM),240
Evening (5 PM),350
Evening (5 PM),256
Evening (5 PM),282
Evening (5 PM),320
Late Night (12 AM),216
Late Night (12 AM),175
Late Night (12 AM),274
Late Night (12 AM),171
Late Night (12 AM),187
Late Night (12 AM),213
Late Night (12 AM),221
Late Night (12 AM),139
Late Night (12 AM),226
Late Night (12 AM),128
Late Night (12 AM),236
Late Night (12 AM),128
Late Night (12 AM),217
Late Night (12 AM),196
Late Night (12 AM),201
Late Night (12 AM),161
