Heights,Fertilizer
90,A
95,A
89,A
75,A
101,A
104,A
82,A
127,A
119,A
110,A
90,A
116,A
116,B
89,B
87,B
104,B
98,B
102,B
94,B
96,B
90,B
86,B
85,B
96,B
106,C
110,C
58,C
96,C
90,C
95,C
115,C
96,C
102,C
90,C
110,C
91,C
94,D
93,D
96,D
125,D
90,D
96,D
120,D
130,D
115,D
111,D
73,D
96,D
109,E
90,E
101,E
107,E
89,E
110,E
71,E
80,E
86,E
97,E
91,E
90,E
116,F
110,F
100,F
116,F
95,F
130,F
90,F
134,F
91,F
107,F
100,F
107,F
80,G
108,G
105,G
95,G
100,G
115,G
130,G
109,G
75,G
125,G
104,G
91,G
95,H
90,H
110,H
125,H
105,H
89,H
105,H
105,H
85,H
85,H
85,H
90,H
98,I
87,I
81,I
126,I
79,I
124,I
116,I
95,I
85,I
90,I
101,I
100,I
101,J
114,J
94,J
85,J
106,J
110,J
110,J
110,J
100,J
105,J
95,J
91,J
