Accuracy,Distance,Hand
8,Far,Left
7.9,Far,Left
6.6,Far,Left
8.7,Far,Left
6.9,Far,Left
7,Far,Left
3.5,Far,Right
4.5,Far,Right
3.9,Far,Right
3.6,Far,Right
4.2,Far,Right
3.7,Far,Right
3.1,Near,Left
4,Near,Left
4.4,Near,Left
2.5,Near,Left
4.4,Near,Left
2.3,Near,Left
3.6,Near,Right
1.4,Near,Right
2.6,Near,Right
1.5,Near,Right
1.6,Near,Right
2.1,Near,Right
5.1,Middle,Left
4,Middle,Left
4.4,Middle,Left
5.6,Middle,Left
4.4,Middle,Left
6.2,Middle,Left
3.6,Middle,Right
3,Middle,Right
4.3,Middle,Right
4.5,Middle,Right
2.6,Middle,Right
3.5,Middle,Right
