Vineyard,Location,CasePrice,Age,Acres,Varieties,Domestic,Vinifera,Retail,Food,Space,Visitors,Buses,Employees,Awards,Sales,%White,income
ES01,Seneca,123,9,15,6,1,1,1,0,1000,32,0,3,15,2.1,70,258.3
WC01,Cayuga,80,18,10,9,1,1,1,0,750,40,70,3,4,3,50,240
WS01,Seneca,52,10,10,6,0,1,1,0,1500,65,25,5,200,10,75,520
WS02,Seneca,112,14,62,11,1,1,1,0,480,14.5,17,1,4,10,75,1120
K01,Keuka,118,4,35,10,1,0,1,0,800,4,6,2,17,0.75,50,88.5
WS03,Seneca,95,5,69,13,0,1,1,1,1500,30,20,17,10,1.5,60,142.5
WS04,Seneca,151,13,29,12,1,1,1,1,800,10,35,10,0,4.5,80,679.5
WC02,Cayuga,100,16,38,10,1,1,1,1,400,20,20,4,0,10,70,1000
ES02,Seneca,66,14,40,7,0,1,0,0,1800,42,100,8,100,15,70,990
K02,Keuka,143,38,150,20,0,1,1,0,1000,20,0,2,34,4.5,80,643.5
WS05,Seneca,110,6,22,3,1,0,1,0,1400,45,1,4,200,2.1,60,231
ES03,Seneca,115,3,40,7,0,1,1,0,800,20,0,2,30,15,40,1725
WS06,Seneca,70,9,35,8,0,1,1,0,2400,46,30,12,100,10,60,700
WS07,Seneca,78,10,100,20,1,1,1,0,800,51,35,5,150,2.5,66,195
WS08,Seneca,103,22,20,15,1,1,1,1,3000,100,350,90,100,50,60,5150
ES04,Seneca,92,14,53,15,1,0,0,0,1250,45,100,12,100,5,50,460
WS09,Seneca,118,20,60,6,0,1,0,0,800,10,10,12,100,15,90,1770
K03,Keuka,131,30,80,14,1,1,1,0,1500,16,15,3,20,10,60,1310
WC03,Cayuga,115,13,45,14,1,1,1,0,800,30,22,5,0,5.46,50,627.9
K04,Keuka,128,12,55,5,1,1,1,0,1800,10,10,5,25,3,60,384
EC01,Cayuga,135,10,17,4,0,1,1,0,450,20,20,5,0,5,70,675
WC04,Cayuga,100,17,8,12,1,1,1,0,580,20,20,5,4,3,50,300
WS10,Seneca,75,10,55,17,1,1,0,0,960,70,30,7,150,17,90,1275
ES05,Seneca,105,9,130,7,0,1,1,0,1800,15,15,12,100,8,60,840
ES06,Seneca,90,10,25,9,0,1,0,0,600,38,50,5,40,3,40,270
WC05,Cayuga,72,20,27,15,1,1,1,1,800,37,30,4,100,15,80,1080
K05,Keuka,138,17,28,15,0,1,1,0,1300,7,20,5,150,1.89,75,260.82
WS11,Seneca,93,12,10,10,0,1,1,0,400,40,5,1,0,12,67,1116
WS12,Seneca,106,13,36,13,1,1,1,0,1200,30,20,5,520,5.75,70,609.5
ES07,Seneca,59,4,30,3,1,0,1,0,1200,55,0,1,0,0.84,15,49.56
WS13,Seneca,97,6,32,10,0,1,0,0,1000,23,2,6,0,2,35,194
WC06,Cayuga,130,1,31,10,1,1,1,1,380,6,42,30,0,1,50,130
EC02,Cayuga,76,12,6,7,1,1,1,0,2500,59,13,2,20,2,50,152
WC07,Cayuga,88,14,11,4,1,1,1,0,1800,60,0,10,100,30,66,2640
ES08,Seneca,60,20,250,17,1,1,1,1,1000,72,30,20,100,40,60,2400
K06,Keuka,85,20,10,8,1,1,1,1,2000,50,30,6,100,15,45,1275
