Chapter,Music,Performance,SNG
Rochester,138,143,151
Rochester,136,146,152
Batavia,140,143,146
Batavia,142,147,146
East Aurora,134,141,145
East Aurora,140,139,144
Mohawk,132,138,133
Mohawk,128,135,129
Binghamton,132,125,134
Binghamton,126,134,137
Geneva,128,125,129
Geneva,134,127,131
Jamestown,126,122,128
Jamestown,128,129,130
Salamanca,124,127,124
Salamanca,122,122,125
Ithaca,124,119,127
Ithaca,106,115,129
Watertown,128,109,115
Watertown,130,109,118
Onondaga,116,115,119
Onondaga,110,113,117
Erie,116,110,113
Erie,106,103,106
Crawford,116,103,104
Crawford,114,99,101
Warren,130,84,106
Warren,114,89,106
Monroe,92,97,110
Monroe,88,94,109
Oswego,92,83,75
Oswego,100,89,81
Bradford,88,83,81
Bradford,76,72,76
