% R.A.E. 101 (T/C=0.10)  INPUT BY BRIAN P. HARTT 
  86.00000  86.00000 
%     UPPER SURFACE 
   0.00000   0.00000 
   0.00100   0.00391 
   0.00200   0.00552 
   0.00300   0.00675 
   0.00400   0.00779 
   0.00500   0.00871 
   0.00600   0.00953 
   0.00700   0.01028 
   0.00750   0.01064 
   0.00800   0.01099 
   0.00900   0.01164 
   0.01000   0.01227 
   0.01200   0.01342 
   0.01250   0.01369 
   0.01400   0.01447 
   0.01600   0.01544 
   0.01800   0.01636 
   0.02000   0.01722 
   0.02500   0.01917 
   0.03000   0.02092 
   0.03500   0.02251 
   0.04000   0.02397 
   0.05000   0.02659 
   0.06000   0.02890 
   0.07000   0.03096 
   0.07500   0.03191 
   0.08000   0.03282 
   0.09000   0.03452 
   0.10000   0.03607 
   0.12000   0.03882 
   0.14000   0.04116 
   0.15000   0.04220 
   0.16000   0.04316 
   0.18000   0.04487 
   0.20000   0.04630 
   0.22000   0.04750 
   0.24000   0.04845 
   0.25000   0.04885 
   0.26000   0.04919 
   0.28000   0.04970 
   0.30000   0.04997 
   0.32000   0.04996 
   0.34000   0.04972 
   0.35000   0.04954 
   0.36000   0.04931 
   0.38000   0.04873 
   0.40000   0.04800 
   0.42000   0.04715 
   0.44000   0.04618 
   0.45000   0.04566 
   0.46000   0.04511 
   0.48000   0.04393 
   0.50000   0.04267 
   0.52000   0.04133 
   0.54000   0.03991 
   0.55000   0.03918 
   0.56000   0.03844 
   0.58000   0.03690 
   0.60000   0.03531 
   0.62000   0.03368 
   0.64000   0.03200 
   0.65000   0.03115 
   0.66000   0.03030 
   0.68000   0.02856 
   0.70000   0.02681 
   0.72000   0.02503 
   0.74000   0.02325 
   0.75000   0.02236 
   0.76000   0.02146 
   0.78000   0.01967 
   0.80000   0.01789 
   0.82000   0.01610 
   0.84000   0.01431 
   0.85000   0.01341 
   0.86000   0.01252 
   0.88000   0.01073 
   0.90000   0.00894 
   0.92000   0.00715 
   0.92500   0.00671 
   0.94000   0.00537 
   0.95000   0.00447 
   0.96000   0.00358 
   0.97500   0.00224 
   0.98000   0.00179 
   0.98750   0.00112 
   1.00000   0.00000 
%     LOWER SURFACE 
   0.00000   0.00000 
   0.00100  -0.00391 
   0.00200  -0.00552 
   0.00300  -0.00675 
   0.00400  -0.00779 
   0.00500  -0.00871 
   0.00600  -0.00953 
   0.00700  -0.01028 
   0.00750  -0.01064 
   0.00800  -0.01099 
   0.00900  -0.01164 
   0.01000  -0.01227 
   0.01200  -0.01342 
   0.01250  -0.01369 
   0.01400  -0.01447 
   0.01600  -0.01544 
   0.01800  -0.01636 
   0.02000  -0.01722 
   0.02500  -0.01917 
   0.03000  -0.02092 
   0.03500  -0.02251 
   0.04000  -0.02397 
   0.05000  -0.02659 
   0.06000  -0.02890 
   0.07000  -0.03096 
   0.07500  -0.03191 
   0.08000  -0.03282 
   0.09000  -0.03452 
   0.10000  -0.03607 
   0.12000  -0.03882 
   0.14000  -0.04116 
   0.15000  -0.04220 
   0.16000  -0.04316 
   0.18000  -0.04487 
   0.20000  -0.04630 
   0.22000  -0.04750 
   0.24000  -0.04845 
   0.25000  -0.04885 
   0.26000  -0.04919 
   0.28000  -0.04970 
   0.30000  -0.04997 
   0.32000  -0.04996 
   0.34000  -0.04972 
   0.35000  -0.04954 
   0.36000  -0.04931 
   0.38000  -0.04873 
   0.40000  -0.04800 
   0.42000  -0.04715 
   0.44000  -0.04618 
   0.45000  -0.04566 
   0.46000  -0.04511 
   0.48000  -0.04393 
   0.50000  -0.04267 
   0.52000  -0.04133 
   0.54000  -0.03991 
   0.55000  -0.03918 
   0.56000  -0.03844 
   0.58000  -0.03690 
   0.60000  -0.03531 
   0.62000  -0.03368 
   0.64000  -0.03200 
   0.65000  -0.03115 
   0.66000  -0.03030 
   0.68000  -0.02856 
   0.70000  -0.02681 
   0.72000  -0.02503 
   0.74000  -0.02325 
   0.75000  -0.02236 
   0.76000  -0.02146 
   0.78000  -0.01967 
   0.80000  -0.01789 
   0.82000  -0.01610 
   0.84000  -0.01431 
   0.85000  -0.01341 
   0.86000  -0.01252 
   0.88000  -0.01073 
   0.90000  -0.00894 
   0.92000  -0.00715 
   0.92500  -0.00671 
   0.94000  -0.00537 
   0.95000  -0.00447 
   0.96000  -0.00358 
   0.97500  -0.00224 
   0.98000  -0.00179 
   0.98750  -0.00112 
   1.00000   0.00000      
