losingstate	loseccode	gainingstate	gainccode	year	homelandclaim	midat	midpost	cincrat	cowwar	dyaddem	priormid	tcprior45	cwprior	access	oil_gas	coethnicity	coethnic_1	alliance	allydummy	nondemdyad	dyaddem6	decade	borderorigin	violenttransfer	region	dyadid4	regionfe_region_decade	reciprocal_claim_zero	five_year_region	arab_homeland_yes	loseentry_alt	material_value	homeland_not_instrumental	fe_region_decade_alt_region	no_united_germany	no_divided_germany	no_germany	palestine_homeland	potato_dominant	potato_dominant_group	potato_dominant_source	colony2	capital_distance_log	highost45	huth_conflict	origin_treaty	origin_prior_admin	origin_prior_col	origin_prior	origin_icj	origin_war	origin_decol	colony3	homelandclaim_stateonly	high_dfbeta_midpost	high_dfbeta_violentmid	high_dfbeta_war
"USA"	2	"Japan"	740	1945	0.0	1.0	0.0	0.8789299	0.0	0.0	1.0	1.0	1.0		1	0		4	0.0	1.0	0.0	40.0	5.0	1.0	6.0	740002.0	31.0	0.0	56.0	0.0	0.0	1.0	0.0	31.0				0.0	1.0	"Japanese"		0.0	9.199482	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Japan"	740	"USA"	2	1945	1.0	1.0	0.0	0.12107009	0.0	0.0	1.0	1.0	1.0		1	0	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	6.0	740002.0	31.0	0.0	56.0	1.0	0.0	1.0	1.0	31.0				1.0	0.0			0.0	8.923325	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Germany"	255	"Czechoslovakia/Czech Republic after 1993"	315	1945	1.0	0.0	0.0	0.92085904	0.0	0.0	1.0	1.0	1.0	4.0	1	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	315255.0	7.0	0.0	12.0	1.0	0.0	1.0	1.0	7.0	1.0		1.0	1.0	1.0	"German"	"Atlas of Central Europe"	0.0	5.1474943	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Federal Republic of Germany"	260	"Czechoslovakia"	315	1945	1.0	0.0	1.0	0.74973065	0.0	0.0	1.0	1.0	1.0	4.0	0	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	315260.0	7.0	0.0	12.0	1.0	0.0	0.0	1.0	7.0		1.0	1.0	1.0	1.0	"German"	"Atlas of Central Europe"	0.0	5.857933	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"German Democratic Republic"	265	"Czechoslovakia"	315	1945	0.0	0.0	1.0	0.48961467	0.0	0.0	1.0	1.0	1.0	4.0	0	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	315265.0	7.0	0.0	12.0	0.0	0.0	1.0	0.0	7.0		1.0	1.0	0.0	1.0	"German"	"Atlas of Central Europe"	0.0	5.273	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Czechoslovakia/Czech Republic after 1993"	315	"Germany"	255	1945	0.0	0.0	0.0	0.07914098	0.0	0.0	1.0	1.0	0.0	4.0	1	1		4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	315255.0	7.0	0.0	12.0	0.0	1.0	1.0	0.0	7.0	1.0		1.0	0.0	0.0		"Atlas of Central Europe"	0.0	4.454347	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Czechoslovakia"	315	"Federal Republic of Germany"	260	1945	0.0	0.0	1.0	0.25026935	0.0	0.0	1.0	1.0	0.0	4.0	0	1		4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	315260.0	7.0	0.0	12.0	0.0	1.0	1.0	0.0	7.0		1.0	1.0	0.0	0.0		"Atlas of Central Europe"	0.0	5.0106354	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Czechoslovakia"	315	"German Democratic Republic"	265	1945	0.0	0.0	1.0	0.51038533	0.0	0.0	1.0	1.0	0.0	4.0	0	1		4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	315265.0	7.0	0.0	12.0	0.0	1.0	1.0	0.0	7.0		1.0	1.0	0.0	0.0		"Atlas of Central Europe"	0.0	4.3694477	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Germany"	255	"USSR/Russia after 1991"	365	1945	1.0	0.0	1.0	0.4032465	0.0	0.0	1.0	1.0	1.0		1	0	0.0	4	0.0	1.0	0.0	40.0	5.0	0.0	2.0	365255.0	7.0	0.0	12.0	1.0	0.0	1.0	0.0	31.0	1.0		1.0	1.0	1.0	"German"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	6.9411902	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Federal Republic of Germany"	260	"USSR"	365	1945	1.0	0.0	1.0	0.18368606	0.0	0.0	1.0	1.0	1.0		1	0	0.0	4	0.0	1.0	0.0	40.0	5.0	0.0	2.0	365260.0	7.0	0.0	12.0	1.0	0.0	1.0	0.0	31.0		1.0	1.0	1.0	1.0	"German"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	6.8824377	1.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"German Democratic Republic"	265	"USSR"	365	1945	0.0	0.0	0.0	0.06721398	0.0	0.0	1.0	1.0	1.0		1	0	0.0	4	0.0	1.0	0.0	40.0	5.0	0.0	2.0	365265.0	7.0	0.0	12.0	0.0	0.0	1.0	0.0	31.0		1.0	1.0	0.0	1.0	"German"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	6.184149	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"USSR/Russia after 1991"	365	"Germany"	255	1945	0.0	0.0	0.0	0.5967535	0.0	0.0	1.0	1.0	1.0		1	0		4	0.0	1.0	0.0	40.0	5.0	0.0	2.0	365255.0	7.0	0.0	12.0	0.0	0.0	1.0	0.0	31.0	1.0		1.0	0.0	0.0		"L'Europe: Ethnique et Linguistique, 1917"	0.0	7.3132205	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"USSR"	365	"Federal Republic of Germany"	260	1945	0.0	0.0	1.0	0.8163139	0.0	0.0	1.0	1.0	1.0		1	0		4	0.0	1.0	0.0	40.0	5.0	0.0	2.0	365260.0	7.0	0.0	12.0	0.0	0.0	1.0	0.0	31.0		1.0	1.0	0.0	0.0		"L'Europe: Ethnique et Linguistique, 1917"	0.0	9.199482	1.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"USSR"	365	"German Democratic Republic"	265	1945	0.0	0.0	0.0	0.932786	0.0	0.0	1.0	1.0	1.0		1	0		4	0.0	1.0	0.0	40.0	5.0	0.0	2.0	365265.0	7.0	0.0	12.0	0.0	0.0	1.0	0.0	31.0		1.0	1.0	0.0	0.0		"L'Europe: Ethnique et Linguistique, 1917"	0.0	9.199482	0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Hungary"	310	"Czechoslovakia/Slovakia after 1993"	315	1945	1.0	0.0	1.0	0.344355	0.0	0.0	1.0	1.0	1.0	4.0	0	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	315310.0	7.0	0.0	12.0	1.0	0.0	1.0	0.0	7.0				1.0	1.0	"Hungarian"	"Atlas of Central Europe"	0.0	3.7376697	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Czechoslovakia/Slovakia after 1993"	315	"Hungary"	310	1945	0.0	0.0	1.0	0.655645	0.0	0.0	1.0	1.0	0.0	4.0	0	1		4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	315310.0	7.0	0.0	12.0	0.0	1.0	1.0	0.0	7.0				0.0	1.0	"Slovak"	"Atlas of Central Europe"	0.0	5.7037826	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"France"	220	"Germany"	255	1947	0.0	0.0	0.0	0.51928097	0.0	0.0	1.0	1.0	1.0	4.5	0	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	255220.0	7.0	0.0	12.0	0.0	0.0		0.0	7.0	1.0		1.0	0.0	1.0	"French"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	2.4996872	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"France"	220	"German Federal Republic"	260	1947	0.0	0.0	0.0	0.51928097	0.0	0.0	1.0	1.0	1.0	4.5	0	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	260220.0	7.0	0.0	12.0	0.0	0.0		0.0	7.0		1.0	1.0	0.0	1.0	"French"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	2.4996872	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"France"	220	"German Democratic Republic"	265	1947	0.0	0.0	1.0	0.25701118	0.0	0.0	1.0	1.0	1.0		1	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	265220.0	7.0	0.0	12.0	0.0	0.0		0.0	7.0		1.0	1.0	0.0	1.0	"French"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	2.4996872	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Germany"	255	"France"	220	1947	1.0	0.0	0.0	0.51928097	0.0	0.0	1.0	1.0	1.0	4.5	0	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	255220.0	7.0	0.0	12.0	1.0	0.0	0.0	0.0	7.0	1.0		1.0	1.0	1.0	"German"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	6.2841344	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"German Federal Republic"	260	"France"	220	1947	1.0	0.0	0.0	0.51928097	0.0	0.0	1.0	1.0	1.0	4.5	0	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	260220.0	7.0	0.0	12.0	1.0	0.0	1.0	1.0	7.0		1.0	1.0	1.0	1.0	"German"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	4.983607	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"German Democratic Republic"	265	"France"	220	1947	1.0	0.0	1.0	0.25701118	0.0	0.0	1.0	1.0	1.0		1	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	265220.0	7.0	0.0	12.0	1.0	0.0	1.0	1.0	7.0		1.0	1.0	1.0	1.0	"German"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	6.280396	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Poland"	290	"USSR/Lithuania/Belarus/Ukraine after 1991"	365	1945	0.0	0.0	1.0	0.076411	0.0	0.0	1.0	1.0	1.0	4.0	1	0	0.0	1	1.0	1.0	0.0	40.0	5.0	1.0	2.0	365290.0	7.0	0.0	12.0	0.0	1.0	1.0	0.0	31.0				0.0	1.0	"Poles"	"Atlas of Central Europe"	0.0	5.4467373	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"USSR (Ukraine)"	365	"Poland"	290	1945	1.0	0.0	1.0	0.923589	0.0	0.0	1.0	1.0	1.0	4.0	1	0	0.0	1	1.0	1.0	0.0	40.0	5.0	1.0	2.0	365290.0	7.0	0.0	12.0	1.0	0.0	1.0	0.0	31.0				1.0	1.0	"Russians, Ukrainians, Ruthenians"	"Atlas of Central Europe"	0.0	6.8243737	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Czech Republic"	316	"Slovakia"	317	1993	1.0	0.0	0.0	0.67464244	0.0	1.0	0.0	0.0	0.0	4.0	1	1	0.069149844	4	0.0	0.0	1.0	90.0	2.0	0.0	2.0	317316.0	12.0	1.0	21.0	1.0	1.0	1.0	1.0	12.0				1.0	1.0	"Czechs, Moravians"	"Atlas of Central Europe"	0.0	5.4595857	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0			
"Slovakia"	317	"Czech Republic"	316	1993	1.0	0.0	0.0	0.3253576	0.0	1.0	0.0	0.0	0.0	4.0	0	1	0.007050055	4	0.0	0.0	1.0	90.0	2.0	0.0	2.0	317316.0	12.0	1.0	21.0	1.0	1.0	1.0	1.0	12.0				1.0	1.0	"Slovaks"	"Atlas of Central Europe"	0.0	3.9702919	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0			
"China"	710	"Japan"	740	1945	0.0	0.0	1.0	0.6387556	0.0	0.0	1.0	1.0	1.0		1	0		4	0.0	1.0	0.0	40.0	1.0	1.0	5.0	740710.0	25.0	0.0	45.0	0.0	0.0	1.0	0.0	25.0				0.0				1.0	7.226209		1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			
"Japan"	740	"China"	710	1945	0.0	0.0	1.0	0.36124438	0.0	0.0	1.0	1.0	1.0		1	0	0.0	4	0.0	1.0	0.0	40.0	1.0	1.0	5.0	740710.0	25.0	0.0	45.0	0.0	0.0	1.0	0.0	25.0				0.0				1.0	7.279319	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			
"USA"	2	"Japan"	740	1947	0.0	0.0	0.0	0.91298234	0.0	0.0	1.0	1.0	1.0		0	0		4	1.0	1.0	0.0	40.0	6.0	1.0	6.0	740002.0	31.0	0.0	56.0	0.0	0.0	0.0	0.0	31.0				0.0	0.0			0.0	9.199482	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Japan"	740	"USA"	2	1947	0.0	0.0	0.0	0.08701764	0.0	0.0	1.0	1.0	1.0		0	0	0.0	4	1.0	1.0	0.0	40.0	6.0	1.0	6.0	740002.0	31.0	0.0	56.0	0.0	0.0	0.0	0.0	31.0				0.0				0.0	8.923325	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"German Federal Republic"	260	"German Democratic Republic"	265	1949	1.0	0.0	1.0	0.7574452	0.0	0.0	0.0	0.0	1.0		1	1		4	0.0	1.0	0.0	40.0	5.0	0.0	2.0	265260.0	7.0	1.0	12.0	1.0	0.0	1.0	1.0	7.0		1.0	1.0	1.0	1.0	"Germans"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	5.273	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"German Democratic Republic"	265	"Federal Republic of Germany"	260	1949	1.0	0.0	1.0	0.24255478	0.0	0.0	0.0	0.0	1.0		1	1		4	0.0	1.0	0.0	40.0	5.0	0.0	2.0	265260.0	7.0	1.0	12.0	1.0	0.0	1.0	1.0	7.0		1.0	1.0	1.0	1.0	"Germans"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	4.94876	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"North Korea"	731	"South Korea"	732	1945	1.0	0.0	1.0	0.45249516	1.0	0.0	0.0	0.0	1.0	3.0	0	1	0.3896898	4	0.0	1.0	0.0	40.0	5.0	0.0	5.0	732731.0	25.0	1.0	45.0	1.0	0.0	1.0	1.0	25.0				1.0	1.0	"Koreans"		0.0	4.934474	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"South Korea"	732	"North Korea"	731	1945	1.0	0.0	1.0	0.54750484	1.0	0.0	0.0	0.0	1.0	3.0	0	1	2.5661438	4	0.0	1.0	0.0	40.0	5.0	0.0	5.0	732731.0	25.0	1.0	45.0	1.0	0.0	1.0	0.0	25.0				1.0	1.0	"Koreans"		0.0	3.637586	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
