"","x"
"1",9007
"2",8106
"3",8928
"4",9137
"5",10017
"6",10826
"7",11317
"8",10744
"9",9713
"10",9938
"11",9161
"12",8927
"13",7750
"14",6981
"15",8038
"16",8422
"17",8714
"18",9512
"19",10120
"20",9823
"21",8743
"22",9129
"23",8710
"24",8680
"25",8162
"26",7306
"27",8124
"28",7870
"29",9387
"30",9556
"31",10093
"32",9620
"33",8285
"34",8466
"35",8160
"36",8034
"37",7717
"38",7461
"39",7767
"40",7925
"41",8623
"42",8945
"43",10078
"44",9179
"45",8037
"46",8488
"47",7874
"48",8647
"49",7792
"50",6957
"51",7726
"52",8106
"53",8890
"54",9299
"55",10625
"56",9302
"57",8314
"58",8850
"59",8265
"60",8796
"61",7836
"62",6892
"63",7791
"64",8192
"65",9115
"66",9434
"67",10484
"68",9827
"69",9110
"70",9070
"71",8633
"72",9240
